layer_bottom,color_code,area_comp_a_pxl,area_comp_b_pxl,area_comp_a_km2,area_comp_b_km2,area_comp_a_ft2,area_comp_b_ft2
9800,"[250, 250, 150]",8054.0,1806.0,0.08657887664606288,0.019414135984950284,931588.7127116367,208896.10319806504
9900,"[250, 250, 120]",35923.0,14111.0,0.3861650094060736,0.15169040580489115,4155135.501209352,1632188.7664606287
10000,"[250, 250, 90]",89134.0,41417.0,0.9581725342649825,0.4452244020424617,10309936.468691211,4790614.565976888
10100,"[250, 220, 90]",141031.0,63051.0,1.5160548239720506,0.6777855415210965,16312749.905939262,7292972.426766998
10200,"[250, 190, 90]",189323.0,86955.0,2.0351840902983067,0.9347487234614351,21898580.811609782,10057896.264445042
10300,"[250, 160, 90]",237548.0,111052.0,2.5535931201289976,1.1937866165009408,27476661.972588014,12845143.993550122
10400,"[250, 130, 90]",307722.0,139734.0,3.307949475947326,1.5021123353937116,35593536.361193225,16162728.728836335
10500,"[200, 130, 60]",377511.0,169766.0,4.058167159365762,1.8249502821822092,43665878.634775594,19636465.036280572
10600,"[180, 130, 60]",451444.0,185211.0,4.852932007524858,1.9909809191077668,52217548.40096748,21422954.689599574
10700,"[160, 130, 90]",521314.0,185211.0,5.604020424617038,1.9909809191077668,60299259.76887933,21422954.689599574
10800,"[160, 130, 60]",614709.0,185211.0,6.607997850040311,1.9909809191077668,71102056.86643375,21422954.689599574
10900,"[160, 130, 30]",668193.0,185215.0,7.182940069873689,1.991023918301532,77288435.1518409,21423417.360924486
